tradedate,close,volume,open,high,low
2019-09-20,139.44,40040770,141.01,141.65,138.25
2019-09-23,139.14,17408370,139.23,139.63,138.44
2019-09-24,137.38,30016670,140.36,140.69,136.88
2019-09-25,139.36,22544050,137.50,139.96,136.03
2019-09-26,139.54,17813510,139.44,140.18,138.44
2019-09-27,137.73,22498960,140.15,140.36,136.65
2019-09-30,139.03,18430390,138.05,139.22,137.78
2019-10-01,137.07,22581930,139.66,140.25,137.00
2019-10-02,134.65,32001760,136.25,136.37,133.58
2019-10-03,136.28,26379800,134.95,136.75,133.22
2019-10-04,138.12,23839550,136.75,138.25,136.42
2019-10-07,137.12,16601280,137.14,138.18,137.02
2019-10-08,135.67,26783340,137.08,137.76,135.62
2019-10-09,138.24,20178480,137.46,138.70,136.97
2019-10-10,139.10,18396610,138.49,139.67,138.25
2019-10-11,139.68,25551070,140.12,141.03,139.50
2019-10-14,139.55,13591640,139.69,140.29,139.52
2019-10-15,141.58,19917760,140.06,141.79,139.81
2019-10-16,140.41,20841690,140.79,140.99,139.53
2019-10-17,139.69,22102800,140.95,141.42,139.02
2019-10-18,137.41,32284430,139.76,140.00,136.56
2019-10-21,138.43,20716040,138.45,138.50,137.01
2019-10-22,136.37,27935270,138.97,140.01,136.26
2019-10-23,137.24,31380310,136.88,137.45,135.61
2019-10-24,139.94,37278400,139.39,140.42,138.67
2019-10-25,140.73,25959720,139.34,141.14,139.20
2019-10-28,144.19,35280140,144.40,145.67,143.51
2019-10-29,142.83,20589470,144.08,144.50,142.65
2019-10-30,144.61,18496590,143.52,145.00,142.79
2019-10-31,143.37,24605140,144.90,144.93,142.99
2019-11-01,143.72,33128370,144.26,144.42,142.97
2019-11-04,144.55,16912000,144.83,145.00,144.16
2019-11-05,144.46,18250170,144.97,145.02,143.91
2019-11-06,144.06,16575800,144.37,144.52,143.20
2019-11-07,144.26,17786720,143.84,144.88,143.77
2019-11-08,145.96,16752940,143.98,145.99,143.76
2019-11-11,146.11,14370180,145.34,146.42,144.73
2019-11-12,147.07,18648710,146.28,147.57,146.06
2019-11-13,147.31,17444230,146.74,147.46,146.28
2019-11-14,148.06,19755100,147.02,148.41,147.00
2019-11-15,149.97,23508810,148.93,149.99,148.27
2019-11-18,150.34,21554760,150.07,150.55,148.98
2019-11-19,150.39,23960160,150.88,151.33,150.20
2019-11-20,149.62,25720060,150.31,150.84,148.46
2019-11-21,149.48,18576080,149.40,149.80,148.50
2019-11-22,149.59,15841680,150.07,150.30,148.82
2019-11-25,151.23,22428590,150.00,151.35,149.92
2019-11-26,152.03,24635100,151.36,152.42,151.32
2019-11-27,152.32,15201290,152.33,152.50,151.52
